kernel_id,mem_insts,lane_accesses,sector_requests,read_sector_requests,write_sector_requests,atomic_sector_requests,l1_requests,l1_hits,l1_pending_hits,l1_misses,l1_line_misses,l1_sector_misses,l1_hit_rate,l2_requests,l2_hits,l2_pending_hits,l2_misses,l2_line_misses,l2_sector_misses,l2_hit_rate,dram_requests,dram_load_requests,dram_store_requests,dram_load_sectors,dram_store_sectors,dram_load_bytes,dram_store_bytes,l2_writeback_events,l2_writeback_dirty_sectors,l2_dirty_drain_events,l2_dirty_drain_sectors,ldg_ltc128b_insts,ldgsts_insts,wide_load_insts,wide_store_insts,reads,writes,atomics,write_full_sector_requests,write_partial_sector_requests,write_covered_bytes,l2_read_requests,l2_read_hits,l2_read_pending_hits,l2_read_misses,l2_read_line_misses,l2_read_sector_misses,l2_write_requests,l2_write_hits,l2_write_pending_hits,l2_write_misses,l2_write_line_misses,l2_write_sector_misses,l2_atomic_requests,l2_atomic_hits,l2_atomic_pending_hits,l2_atomic_misses,l2_atomic_line_misses,l2_atomic_sector_misses
1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,1,0,0,0,0,0,0,0,0.000000,1,0,0,1,1,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,0,0,1,0,0,0,0,0,0,0.000000,1,0,0,1,0,1,0.000000,1,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
5,1,1,1,0,0,1,0,0,0,0,0,0,0.000000,1,1,0,0,0,0,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6,1,8,1,1,0,0,1,0,0,1,1,0,0.000000,1,1,0,0,0,0,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
