policy,producer,writes,superseded,emitted,resident,residual
disabled,2,1,1,0,0,0
disabled,4,1,1,0,0,0
disabled,5,1,0,0,1,0
phase11,2,1,1,0,0,0
phase11,4,1,1,0,0,0
phase11,5,1,0,0,1,0
clean_q16,2,1,1,0,0,0
clean_q16,4,1,1,0,0,0
clean_q16,5,1,0,0,1,0
